price,no_of_bedroom,no_of_bathroom,property_size,property_type,district,price_per_square
310000.0,3.0,2.0,790.0,Apartment,Ampang,392.40506329113924
300000.0,3.0,2.0,800.0,Apartment,Kuala Lumpur,375.0
330000.0,3.0,2.0,933.0,Apartment,Kuala Lumpur,353.6977491961415
345000.0,3.0,2.0,933.0,Apartment,Kuala Lumpur,369.7749196141479
770000.0,3.0,1.0,635.0,Apartment,Others,1212.5984251968505
750000.0,2.0,1.0,635.0,Apartment,Others,1181.1023622047244
260000.0,3.0,2.0,850.0,Apartment,Kepong,305.88235294117646
388000.0,3.0,2.0,1029.0,Apartment,Kuala Lumpur,377.0651117589893
348000.0,3.0,2.0,872.0,Apartment,Kuala Lumpur,399.08256880733944
399000.0,3.0,2.0,1162.0,Apartment,Kuala Lumpur,343.3734939759036
320000.0,3.0,2.0,768.0,Apartment,Ampang,416.6666666666667
238000.0,3.0,2.0,650.0,Apartment,Kepong,366.15384615384613
250000.0,2.0,2.0,969.0,Apartment,Kuala Lumpur,257.99793601651186
280000.0,3.0,2.0,838.0,Apartment,Kuala Lumpur,334.1288782816229
625000.0,3.0,2.0,950.0,Apartment,Kuala Lumpur,657.8947368421053
320000.0,3.0,2.0,857.0,Apartment,Kuala Lumpur,373.3955659276546
305000.0,3.0,2.0,872.0,Apartment,Kuala Lumpur,349.77064220183485
285000.0,3.0,2.0,921.0,Apartment,Kuala Lumpur,309.44625407166126
378000.0,3.0,2.0,926.0,Apartment,Kuala Lumpur,408.207343412527
335000.0,3.0,2.0,930.0,Apartment,Kuala Lumpur,360.21505376344084
330000.0,3.0,2.0,850.0,Apartment,Others,388.2352941176471
620000.0,3.0,2.0,940.0,Apartment,Kuala Lumpur,659.5744680851063
607000.0,4.0,3.0,1220.0,Apartment,Kuala Lumpur,497.5409836065574
164025.0,3.0,2.0,1001.0,Apartment,Others,163.86113886113887
182250.0,3.0,2.0,1001.0,Apartment,Others,182.06793206793208
182250.0,3.0,2.0,1001.0,Apartment,Others,182.06793206793208
215000.0,2.0,2.0,647.0,Apartment,Kuala Lumpur,332.3029366306028
238000.0,2.0,2.0,700.0,Apartment,Kuala Lumpur,340.0
210000.0,2.0,2.0,647.0,Apartment,Kuala Lumpur,324.57496136012367
220000.0,3.0,2.0,750.0,Apartment,Others,293.3333333333333
293000.0,3.0,2.0,980.0,Apartment,Kuala Lumpur,298.9795918367347
245000.0,3.0,2.0,750.0,Apartment,Kuala Lumpur,326.6666666666667
308000.0,3.0,2.0,860.0,Apartment,Kuala Lumpur,358.13953488372096
375000.0,3.0,2.0,855.0,Apartment,Kuala Lumpur,438.5964912280702
355000.0,3.0,2.0,842.0,Apartment,Kuala Lumpur,421.61520190023754
430000.0,3.0,2.0,1165.0,Apartment,Kuala Lumpur,369.09871244635195
265000.0,3.0,2.0,860.0,Apartment,Ampang,308.13953488372096
455000.0,3.0,2.0,1033.0,Apartment,Others,440.4646660212972
380000.0,3.0,2.0,1248.0,Apartment,Kuala Lumpur,304.4871794871795
350000.0,3.0,2.0,1016.0,Apartment,Kuala Lumpur,344.48818897637796
335000.0,3.0,2.0,1016.0,Apartment,Kuala Lumpur,329.7244094488189
380000.0,3.0,2.0,1016.0,Apartment,Kuala Lumpur,374.01574803149606
323000.0,3.0,2.0,1016.0,Apartment,Kuala Lumpur,317.9133858267717
300000.0,3.0,2.0,801.0,Apartment,Kuala Lumpur,374.53183520599254
400000.0,3.0,2.0,1043.0,Apartment,Kuala Lumpur,383.5091083413231
180000.0,3.0,2.0,650.0,Apartment,Others,276.9230769230769
